AAL1961,KDFW,KSAT
AAL1962,KCLT,KPIT
AAL1964,KPHL,KMIA
AAL1964E,KPHL,KMIA
AAL1965,KTPA,KPHL
AAL1966,KDCA,KLAX
AAL1967,KPHX,KEWR
AAL1968,KPHX,KATL
AAL1968,KPHX,KCVG
AAL1968,KLAX,KDFW
AAL1968,KLGA,KRSW
AAL1968,KBOS,KMIA
AAL1968,KMIA,KBOS
AAL1969,KPHL,KCLT
AAL1971,MMUN,KPHL
AAL1974,KDFW,KPHX
AAL1975,KBDL,KCLT
AAL1977,KSAT,KCLT
AAL1981,KPHX,KPHL
AAL1982,KMDT,KCLT
AAL1983,KBOS,KORD
AAL1983,KMIA,KLGA
AAL1983,KDFW,KPHL
AAL1987,KLGA,KDFW
AAL1990,KTPA,KCLT,KTPA
AAL1992D,KSTL,KCLT
AAL1996,KDFW,KSFO
AAL2,KLAX,KJFK
AAL2004,KPHL,KLAX
AAL2004,KLAX,KPHL
AAL2008,KPSP,KDFW,KPSP
AAL2009,KJFK,KMIA
AAL2013,KCLT,KMIA
AAL2014,KRIC,KCLT
AAL2015,KMCO,KPHX
AAL2016,KDFW,KLGA
AAL2017,KJFK,KMIA
AAL2018,KCLT,KRSW,KCLT
AAL2020,KTPA,KCLT
AAL2020BF,KTPA,KCLT
AAL2023,KLAX,KCLT
AAL2028,KMIA,KLAX,KDFW
AAL2029,KDEN,KPHL
AAL2033,KBOS,KCLT
AAL2034,KMSY,KPHL
AAL2037,KLAX,KAUS
AAL2038,KPHX,KBOS
AAL204,KPHL,EHAM
AAL2042,KPHL,EHAM
AAL2043,KPHL,EHAM
AAL2044,KCLT,TXKF
AAL2046BA,KPHL,EHAM
AAL2047,KMIA,KLGA,KMIA
AAL2048,KLAS,KPHL
AAL2049,KPHL,EHAM
AAL204A,KPHL,EHAM
AAL204DD,KPHL,EHAM
AAL204PF,KPHL,EHAM
AAL2050,KDFW,KSAN
AAL2053,KSAT,KPHX
AAL2053E,KSAT,KPHX
AAL2054,KTPA,KPHL
AAL2054,KPHL,KTPA
AAL2054,KTPA,KDCA
AAL2054,KORD,KPHL
AAL2054,KMCO,KDCA
AAL2054,KRDU,KCLT
AAL2056,KCLT,KDFW
AAL2058,KMCO,KCLT
AAL2062,KMIA,KBOS
AAL2065,KBOS,KDFW
AAL2065,KLAS,KMIA
AAL2065,KORD,KPHL
AAL2065,KMCO,KDCA
AAL2065,KDFW,KLGA
AAL2067,KSFO,KMIA
AAL2069,KMIA,KBOS
AAL2071,KDCA,KMSY
AAL2073,KCLT,KRDU
AAL2074,KAUS,KDFW
AAL2075,KSFO,KPHL
AAL2075,KMCO,KDFW
AAL2077,KMIA,KJFK
AAL2079,KPHX,KCLT,KLAX
AAL2081,KMIA,KSAV
AAL2081,KONT,KDFW
AAL2082,KPHL,KTPA
AAL2083,KDFW,KSBA
AAL2083,KCLT,KMIA
AAL2083,KMIA,KLAS
AAL2083,KLAX,KIND
AAL2084,KMCO,KPHL
AAL2084E,KPHL,KMCO
AAL2087,KPHX,KDSM
AAL2092,KCLT,KMCO
AAL2093,KCLT,KMCO
AAL2094,KSNA,KPHX
AAL2101,KMSP,KMIA
AAL2101C,KMSP,KMIA
AAL2102,KPHL,KPHX
AAL2103,KMIA,KPHX
AAL2104,KPDX,KDFW
AAL2104AB,KPDX,KDFW
AAL2105,KJFK,KDFW
AAL2105,KMCO,KORD
AAL2105,KORD,KPHL
AAL2107,KLAX,KPHX,KMIA
AAL2108,KPHL,KORD
AAL2111,KLGA,KCLT
AAL2113,KORD,KDFW
AAL2114,KMIA,KEWR
AAL2114,KORD,KMIA
AAL2114,KJAX,KCLT
AAL2114,KSFO,KPHX
